Open,High,Low,Close,Volume,Dividends,Stock Splits
257.8500061035156,260.8599853515625,254.2100067138672,255.6999969482422,119531000,0.0,0.0
257.3999938964844,257.7900085449219,244.47999572753906,244.8800048828125,127524100,0.0,0.0
243.3800048828125,247.10000610351562,238.30999755859375,246.99000549316406,104636600,0.0,0.0
242.97999572753906,249.5500030517578,241.66000366210938,244.1199951171875,101993600,0.0,0.0
244.25999450683594,245.3300018310547,234.5800018310547,240.5,136597200,0.0,0.0
240.02000427246094,247.5500030517578,238.64999389648438,246.3800048828125,117058900,0.0,0.0
250.0,254.77000427246094,246.35000610351562,250.22000122070312,128346200,0.0,0.0
244.80999755859375,254.27999877929688,242.6199951171875,251.60000610351562,123810400,0.0,0.0
248.61000061035156,250.02000427246094,244.4499969482422,246.52999877929688,101985300,0.0,0.0
248.13999938964844,261.8599853515625,247.60000610351562,261.1600036621094,129721600,0.0,0.0
260.0,263.6000061035156,256.25,260.04998779296875,119159200,0.0,0.0
253.97999572753906,261.6499938964844,250.64999389648438,260.5299987792969,117947000,0.0,0.0
255.30999755859375,261.3599853515625,252.0500030517578,259.6700134277344,101377900,0.0,0.0
257.75,268.94000244140625,257.6499938964844,263.6199951171875,122656000,0.0,0.0
266.20001220703125,268.6000061035156,260.8999938964844,262.989990234375,103706300,0.0,0.0
262.9200134277344,265.4100036621094,256.6300048828125,258.8699951171875,111508100,0.0,0.0
258.8999938964844,259.6000061035156,250.22000122070312,251.1199951171875,102073800,0.0,0.0
250.0500030517578,255.39999389648438,248.47999572753906,253.9199981689453,88917200,0.0,0.0
250.10000610351562,257.17999267578125,247.0800018310547,254.85000610351562,93562900,0.0,0.0
252.6999969482422,254.6300048828125,242.0800018310547,242.67999267578125,125147800,0.0,0.0
225.9499969482422,230.61000061035156,216.77999877929688,220.11000061035156,170772700,0.0,0.0
217.00999450683594,218.86000061035156,210.4199981689453,211.99000549316406,137734000,0.0,0.0
210.0,216.97999572753906,202.50999450683594,212.0800018310547,150683400,0.0,0.0
216.5,222.0500030517578,214.11000061035156,216.52000427246094,118231100,0.0,0.0
215.8800048828125,220.10000610351562,212.1999969482422,212.4199981689453,107065100,0.0,0.0
211.32000732421875,214.8000030517578,204.8800048828125,205.75999450683594,115112600,0.0,0.0
210.60000610351562,212.41000366210938,205.77000427246094,207.3000030517578,94881200,0.0,0.0
209.27999877929688,210.8800048828125,194.6699981689453,197.36000061035156,136448200,0.0,0.0
196.1199951171875,202.8000030517578,194.07000732421875,200.83999633789062,118068300,0.0,0.0
204.0399932861328,205.99000549316406,197.85000610351562,205.66000366210938,121661700,0.0,0.0
212.97000122070312,219.1999969482422,211.4499969482422,218.50999450683594,125987600,0.0,0.0
221.14999389648438,226.3699951171875,218.39999389648438,219.9600067138672,119281000,0.0,0.0
223.97999572753906,226.32000732421875,215.0,219.27000427246094,117335800,0.0,0.0
219.97999572753906,223.1199951171875,215.72000122070312,222.17999267578125,116900100,0.0,0.0
223.14999389648438,224.14999389648438,217.63999938964844,222.11000061035156,106584800,0.0,0.0
219.75,220.8000030517578,206.67999267578125,209.97999572753906,142110500,0.0,0.0
210.02999877929688,215.3800048828125,205.69000244140625,214.64999389648438,130994000,0.0,0.0
215.60000610351562,225.39999389648438,211.61000061035156,223.7100067138672,140447600,0.0,0.0
235.02999877929688,238.13999938964844,230.72000122070312,237.41000366210938,149771600,0.0,0.0
239.2899932861328,246.6999969482422,236.4499969482422,242.83999633789062,150354000,0.0,0.0
239.49000549316406,240.8800048828125,230.9600067138672,233.58999633789062,136816800,0.0,0.0
232.0,237.38999938964844,226.5399932861328,234.3000030517578,142532800,0.0,0.0
